Sample_Id	SV_Status	Site1_Hugo_Symbol	Site1_Region_Number	Site1_Region	Site1_Chromosome	Site1_Position	Site2_Hugo_Symbol	Site2_Region_Number	Site2_Region	Site2_Chromosome	Site2_Position	Site2_Effect_On_Frame	NCBI_Build	DNA_Support	RNA_Support	Event_Info	SV_Length	Comments
A306	SOMATIC	NRXN3			14	79780492	AF127577.8			21	16318876	UTR/exonic(no-known-CDS)	GRCh37	no	yes	NRXN3-AF127577.8 fusion	655	recurrent fusion in 2 samples (GSK240, GSK260)
A261	SOMATIC	CPD	7	Exon	17	28754576	EFCAB5	23	Exon	17	28434852	InFrame	GRCh37	no	yes	CPD-EFCAB5 fusion	253	NA
A534	SOMATIC	TBCA	1	Exon	5	77072029	FAM174A	3	Exon	5	99921885	InFrame	GRCh37	no	yes	TBCA-FAM174A fusion	354	NA
A260	SOMATIC	LRBA	2	Exon	4	151935579	BAIAP2	14	Exon	17	79089570	InFrame	GRCh37	no	yes	LRBA-BAIAP2 fusion	268	NA
A266	SOMATIC	DUSP16	4	Exon	12	12653453	BCAT1	2	Exon	12	25054819	InFrame	GRCh37	no	yes	DUSP16-BCAT1 fusion	320	NA
A260	SOMATIC	PRKD2	12	Exon	19	47194992	NBR1	19	Exon	17	41354672	InFrame	GRCh37	no	yes	PRKD2-NBR1 fusion	389	NA
A260	SOMATIC	CA12	8	Exon	15	63631018	HERC1	23	Exon	15	64005864	InFrame	GRCh37	no	yes	CA12-HERC1 fusion	208	NA
A156	SOMATIC	GRHL2	8	Exon	8	102611379	AZIN1	4	Exon	8	103852051	InFrame	GRCh37	no	yes	GRHL2-AZIN1 fusion	395	NA
A124	SOMATIC	FAF2	2	Exon	5	175906257	LMAN2	3	Exon	5	176765606	InFrame	GRCh37	no	yes	FAF2-LMAN2 fusion	334	NA
A432	SOMATIC	RPRD2	6	Exon	1	150418877	NUP210L	34	Exon	1	153984846	InFrame	GRCh37	no	yes	RPRD2-NUP210L fusion	257	NA
A284	SOMATIC	SQSTM1			5	179251087	ADGRV1			5	90004633	InFrame	GRCh37	no	yes	SQSTM1-ADGRV1 fusion	360	NA
A255	SOMATIC	UNKL	8	Exon	16	1442892	TFAP4	2	Exon	16	4312702	InFrame	GRCh37	no	yes	UNKL-TFAP4 fusion	331	NA
A274	SOMATIC	EPC1	2	Exon	10	32594700	TBC1D22A	11	Exon	22	47432967	InFrame	GRCh37	no	yes	EPC1-TBC1D22A fusion	300	NA
A377	SOMATIC	BRINP3	2	Exon	1	190423785	KCNT2	28	Exon	1	196197465	InFrame	GRCh37	no	yes	BRINP3-KCNT2 fusion	292	NA
A490	SOMATIC	LMCD1	1	Exon	3	8543666	CPNE9	21	Exon	3	9771191	InFrame	GRCh37	no	yes	LMCD1-CPNE9 fusion	336	NA
A519	SOMATIC	NAPG			18	10526155	CLUL1			18	617988	InFrame	GRCh37	no	yes	NAPG-CLUL1 fusion	333	NA
A156	SOMATIC	BRD9	5	Exon	5	889136	C5ORF42	47	Exon	5	37122590	InFrame	GRCh37	no	yes	BRD9-C5ORF42 fusion	394	NA
